Declare,metatab-latest,,,,,,,,,
Title,County Planning Database,,,,,,,,,
Description,A collection of data for demographics and housing from the Census planning,,,,,,,,,
Description,"database. Files are broken into counties, for San Diego and Los Angeles",,,,,,,,,
Identifier,faecc038-4f5e-4524-8000-4b218b8a46bf,,,,,,,,,
Name,sandiegodata.org-planning-tracts-9,,,,,,,,,
Dataset,planning,,,,,,,,,
Origin,sandiegodata.org,,,,,,,,,
Grain,tracts,,,,,,,,,
Version,9,,,,,,,,,
Group,planning-project,,,,,,,,,
Created,2018-09-06T14:39:53,,,,,,,,,
Modified,2018-12-15T01:14:43,,,,,,,,,
Issued,2018-09-21T05:15:22,,,,,,,,,
Ckanid,98027770-32e6-41ef-a72d-dd1b77c7f18e,,,,,,,,,
Giturl,https://github.com/sandiegodata/planning-database.git,,,,,,,,,
,,,,,,,,,,
Section,Contacts,Email,Organization,Url,,,,,,
Wrangler,Eric Busboom,eric@civicknowledge.com,Civic Knowledge,http://civicknowledge.com,,,,,,
,,,,,,,,,,
Section,Documentation,Title,Description,,,,,,,
Documentation,file:README.md,README,,,,,,,,
Homepage,https://www.census.gov/research/data/planning_database/,Home page,,,,,,,,
Documentation,https://www.census.gov/research/data/planning_database/2018/docs/2018_Tract_PDB_Documentation_V4.pdf,Tract PDB Documentation,Primary documentation and data dictionary,,,,,,,
,,,,,,,,,,
Section,References,Name,Description,,,,,,,
Reference,https://www.census.gov/research/data/planning_database/2018/docs/pdb2018trv4_us.zip#encoding=latin1,census_planning_database,Source file for the planning database.,,,,,,,
Reference,metapack+http://library.metatab.org/sandiegodata.org-geography-2018.csv#tract_links,sd_communities,Links communities to tracts,,,,,,,
Reference,metapack+http://library.metatab.org/sandiegodata.org-geography-2018.csv#tracts,sd_tracts,TRACT BOUNDARIES,,,,,,,
,,,,,,,,,,
Section,Resources,Name,Description,State,County,schema,,,,
Datafile,python:pylib#extract_county,planning_db_sd,San Diego county planning database tracts,6,73,planning_db,,,,
Datafile,python:pylib#extract_county,planning_db_la,Los Angeles county planning database tracts,6,37,planning_db,,,,
,,,,,,,,,,
Section,Schema,DataType,AltName,Label,Description,UnitLevel,Source,Denominator Note,VariableNumber,Group
Table,planning_db,,,,,,,,,
Table.Column,geoid,string,,Census Tract: 6-digit code,"Subdivision of a County or statistically equivalent entity (0 to over 25,000 people per Tract with an average size of 4,200)",,Census geography,,6,geography
Table.Column,Flag,string,flag,"Tract containing only block groups with block group code 0 (zero), representing areas that are not habitable","If a tract contains only uninhabitable land, this variable is filled. Otherwise, this variable is blank.",,Census geography,,7,geography
Table.Column,LAND_AREA,number,land_area,Land area (sq.mi.),Land area of geographical entity in square miles,,Census geography,,9,geography
Table.Column,AIAN_LAND,integer,aian_land,"Number of block groups in the tract that are located on any part of an American Indian, Alaska Native, or Native Hawaiian area","The number of block groups in this tract that are located on any part of an American Indian, Alaska Native, or Native Hawaiian area",,Census geography,Num_BGs_in_Tract,10,geography
Table.Column,URBANIZED_AREA_POP_CEN_2010,integer,urbanized_area_pop_cen_2010,"Population living in Area defined as an Urbanized Area (50,000 or greater) in the 2010 Census","Population living in a densely settled area containing 50,000 or more people",,2010 Census,Tot_Population_CEN_ 2010,11,population
Table.Column,URBAN_CLUSTER_POP_CEN_2010,integer,urban_cluster_pop_cen_2010,"Population living in Area defined as an Urban Cluster Area (2,50049,999) in the 2010 Census","Population living in a densely settled area containing 2,500 to 49,999 people",,2010 Census,Tot_Population_CEN_ 2010,12,population
Table.Column,RURAL_POP_CEN_2010,integer,rural_pop_cen_2010,Population living in Area outside of an Urban Area or Urban Cluster in the 2010 Census,Population living outside of an Urbanized Area or Urban Cluster,,2010 Census,Tot_Population_CEN_ 2010,13,population
Table.Column,Tot_Population_CEN_2010,integer,tot_population_cen_2010,Total population in the 2010 Census,U.S. resident population includes everyone whose usual place of residence was in the tract at the time of the 2010 Census,Persons,2010 Census,,14,population
Table.Column,Tot_Population_ACS_12_16,integer,tot_population_acs_12_16,Total Population in the ACS,U.S. resident population includes everyone who meets the ACS residence rules in the tract at the time of the ACS interview,Persons,ACS,,15,population
Table.Column,Tot_Population_ACSMOE_12_16,integer,tot_population_acsmoe_12_16,MOE - Total Population,Margin of Error for Total Population,Persons,ACS,,16,population
Table.Column,Males_CEN_2010,integer,males_cen_2010,Number of Males in the 2010 Census,Number of Males in 2010 Census Total Population,Persons,2010 Census,Tot_Population_CEN_ 2010,17,population
Table.Column,Males_ACS_12_16,integer,males_acs_12_16,Number of Males in the ACS,Number of Males in ACS Total Population,Persons,ACS,Tot_Population_ACS_ 10 14,18,population
Table.Column,Males_ACSMOE_12_16,integer,males_acsmoe_12_16,MOE - Number of Males,Margin of Error for Number of Males,Persons,ACS,,19,population
Table.Column,Females_CEN_2010,integer,females_cen_2010,Number of Females in the 2010 Census,Number of Females in 2010 Census Total Population,Persons,2010 Census,Tot_Population_CEN_ 2010,20,population
Table.Column,Females_ACS_12_16,integer,females_acs_12_16,Number of Females in the ACS,Number of Females in ACS Total Population,Persons,ACS,Tot_Population_ACS_ 10 14,21,population
